sim_time,junction_id,current_phase,phase_duration_total,phase_duration_remaining,max_queue_length,avg_queue_length,max_waiting_time,green_lane_count,empty_green_lane_count,max_seconds_since_green,approach_count,label
5.0,1294004372,0,82.0,77.0,0,0.0,0.0,2,2,0.0,2,starvation
5.0,1396454306,0,60.0,37.0,0,0.0,0.0,1,1,0.0,2,green_waste
5.0,20447270,0,45.0,37.0,0,0.0,0.0,2,2,0.0,4,demand_imbalance
5.0,2365997447,0,82.0,77.0,0,0.0,0.0,1,1,0.0,1,normal
5.0,26867633,0,42.0,37.0,0,0.0,0.0,2,2,0.0,3,normal
5.0,26867646,0,82.0,77.0,0,0.0,0.0,3,3,0.0,3,normal
5.0,2892088923,0,82.0,77.0,0,0.0,0.0,2,2,0.0,2,normal
5.0,3451922932,0,42.0,37.0,0,0.0,0.0,1,1,0.0,3,normal
5.0,3451922950,0,82.0,77.0,0,0.0,0.0,2,2,0.0,2,normal
5.0,3594514234,0,82.0,77.0,0,0.0,0.0,2,2,0.0,2,normal
5.0,3621526490,0,82.0,77.0,0,0.0,0.0,2,2,0.0,2,normal
5.0,5029099782,0,42.0,37.0,0,0.0,0.0,1,1,0.0,1,normal
5.0,511114288,0,82.0,77.0,0,0.0,0.0,2,2,0.0,2,normal
5.0,5300228178,0,82.0,77.0,0,0.0,0.0,2,2,0.0,2,normal
5.0,5300250107,0,82.0,77.0,0,0.0,0.0,2,2,0.0,2,normal
5.0,5300250108,0,82.0,77.0,0,0.0,0.0,2,2,0.0,2,normal
5.0,5301488751,0,82.0,77.0,0,0.0,0.0,2,2,0.0,2,normal
5.0,659815,0,42.0,37.0,0,0.0,0.0,3,3,0.0,4,normal
5.0,710547269,0,24.0,19.0,0,0.0,0.0,4,4,0.0,7,normal
5.0,cluster_1277707259_1415538921_668804488,0,42.0,37.0,0,0.0,0.0,2,2,0.0,4,normal
5.0,cluster_1294004359_1294004382,0,42.0,37.0,0,0.0,0.0,3,3,0.0,3,normal
5.0,cluster_20299832_527734964_537784305,0,38.0,33.0,0,0.0,0.0,1,1,0.0,2,normal
5.0,cluster_2418681455_3772654578,0,82.0,77.0,0,0.0,0.0,1,1,0.0,1,normal
5.0,cluster_3260618602_389365,0,42.0,37.0,0,0.0,0.0,2,2,0.0,3,normal
5.0,cluster_336173796_389292,0,38.0,33.0,0,0.0,0.0,4,4,0.0,8,normal
5.0,cluster_3451922931_3621526491_5301585467_5301585472,0,82.0,77.0,0,0.0,0.0,2,2,0.0,2,normal
5.0,cluster_389364_5403869166,0,82.0,77.0,0,0.0,0.0,3,3,0.0,3,normal
5.0,cluster_5300250112_5301488754,0,42.0,37.0,0,0.0,0.0,2,2,0.0,3,normal
10.0,1294004372,0,82.0,72.0,0,0.0,0.0,2,2,0.0,2,starvation
10.0,1396454306,0,60.0,32.0,0,0.0,0.0,1,1,0.0,2,green_waste
10.0,20447270,0,45.0,32.0,0,0.0,0.0,2,2,0.0,4,demand_imbalance
10.0,2365997447,0,82.0,72.0,0,0.0,0.0,1,1,0.0,1,normal
10.0,26867633,0,42.0,32.0,1,0.33,3.0,2,2,0.0,3,normal
10.0,26867646,0,82.0,72.0,0,0.0,0.0,3,3,0.0,3,normal
10.0,2892088923,0,82.0,72.0,0,0.0,0.0,2,2,0.0,2,normal
10.0,3451922932,0,42.0,32.0,0,0.0,0.0,1,1,0.0,3,normal
10.0,3451922950,0,82.0,72.0,0,0.0,0.0,2,2,0.0,2,normal
10.0,3594514234,0,82.0,72.0,0,0.0,0.0,2,2,0.0,2,normal
10.0,3621526490,0,82.0,72.0,0,0.0,0.0,2,2,0.0,2,normal
10.0,5029099782,0,42.0,32.0,0,0.0,0.0,1,1,0.0,1,normal
10.0,511114288,0,82.0,72.0,0,0.0,0.0,2,2,0.0,2,normal
10.0,5300228178,0,82.0,72.0,0,0.0,0.0,2,2,0.0,2,normal
10.0,5300250107,0,82.0,72.0,0,0.0,0.0,2,2,0.0,2,normal
10.0,5300250108,0,82.0,72.0,0,0.0,0.0,2,2,0.0,2,normal
10.0,5301488751,0,82.0,72.0,0,0.0,0.0,2,2,0.0,2,normal
10.0,659815,0,42.0,32.0,0,0.0,0.0,3,3,0.0,4,normal
10.0,710547269,0,24.0,14.0,0,0.0,0.0,4,4,0.0,7,normal
10.0,cluster_1277707259_1415538921_668804488,0,42.0,32.0,0,0.0,0.0,2,2,0.0,4,normal
10.0,cluster_1294004359_1294004382,0,42.0,32.0,0,0.0,0.0,3,3,0.0,3,normal
10.0,cluster_20299832_527734964_537784305,0,38.0,28.0,0,0.0,0.0,1,1,0.0,2,normal
10.0,cluster_2418681455_3772654578,0,82.0,72.0,0,0.0,0.0,1,1,0.0,1,normal
10.0,cluster_3260618602_389365,0,42.0,32.0,0,0.0,0.0,2,2,0.0,3,normal
10.0,cluster_336173796_389292,0,38.0,28.0,1,0.12,1.0,4,4,0.0,8,normal
10.0,cluster_3451922931_3621526491_5301585467_5301585472,0,82.0,72.0,0,0.0,0.0,2,2,0.0,2,normal
10.0,cluster_389364_5403869166,0,82.0,72.0,0,0.0,0.0,3,3,0.0,3,normal
10.0,cluster_5300250112_5301488754,0,42.0,32.0,0,0.0,0.0,2,2,0.0,3,normal
15.0,1294004372,0,82.0,67.0,0,0.0,0.0,2,2,0.0,2,starvation
15.0,1396454306,0,60.0,27.0,0,0.0,0.0,1,1,0.0,2,green_waste
15.0,20447270,0,45.0,27.0,0,0.0,0.0,2,2,0.0,4,demand_imbalance
